Subscription ID,Subscription Type,Duration (Days)
11542,yearly,6939
11543,daily,15
11547,yearly,6574
11544,one-off,0
11545,monthly,578
11549,monthly,395
19399,monthly,2007
5982,one-off,0
19396,daily,54
19395,daily,6
5981,monthly,1765
5984,daily,38
5985,daily,55
46139,daily,48
46138,daily,30
46136,one-off,0
53907,daily,10
46132,daily,3
46131,daily,47
57488,yearly,9131
19971,monthly,2465
19970,yearly,5113
19977,daily,14
19976,daily,4
19974,yearly,3287
16705,daily,47
16704,monthly,2710
16707,yearly,11323
16706,monthly,2404
16701,yearly,4749
16703,one-off,0
42087,monthly,303
42086,monthly,1916
12015,monthly,2740
12014,one-off,0
12016,monthly,669
12011,monthly,1430
46706,monthly,2649
17258,daily,42
17259,monthly,670
17250,one-off,0
17251,monthly,243
17252,yearly,10227
52463,monthly,1827
17254,yearly,4018
17255,one-off,0
17256,monthly,549
17257,yearly,15706
10708,daily,34
9258,monthly,153
53733,one-off,0
9257,yearly,8401
53731,daily,11
53730,one-off,0
53737,monthly,1885
53736,monthly,791
9250,monthly,273
9251,daily,6
46793,monthly,1583
46791,one-off,0
46790,one-off,0
46797,monthly,2586
46796,yearly,6209
46794,one-off,0
49565,monthly,1857
49567,yearly,7670
46798,yearly,6940
49560,yearly,14610
21613,monthly,2740
19397,one-off,0
45449,monthly,1036
45446,daily,16
45447,monthly,2131
45445,monthly,244
5980,daily,32
44799,yearly,2922
44791,yearly,3652
44790,monthly,1249
44793,monthly,458
44795,one-off,0
44794,one-off,0
44797,monthly,365
44796,one-off,0
46869,monthly,1248
46868,monthly,335
58079,monthly,426
19391,one-off,0
58075,monthly,2009
58074,one-off,0
46862,one-off,0
46864,yearly,7670
46867,daily,53
58072,monthly,244
20156,daily,44
33303,yearly,1826
13058,one-off,0
13053,yearly,11688
13051,monthly,1280
13057,one-off,0
54171,daily,9
54172,daily,29
54173,yearly,3288
54175,one-off,0
54176,monthly,823
20258,daily,28
20252,one-off,0
20257,daily,35
20254,one-off,0
40966,monthly,2223
40967,monthly,122
44424,daily,52
44422,monthly,730
44420,monthly,1461
29764,daily,22
29767,daily,10
44429,monthly,2313
44428,daily,9
23508,yearly,1826
23502,daily,50
29926,yearly,4748
27617,one-off,0
27616,monthly,2680
27613,one-off,0
27611,yearly,9862
12833,monthly,2404
12831,daily,53
12834,daily,21
8545,daily,46
8547,monthly,1948
8546,one-off,0
8543,daily,54
8542,one-off,0
50419,yearly,7305
50413,monthly,1218
50412,yearly,8401
50410,daily,40
50416,one-off,0
55629,daily,45
55628,one-off,0
55622,yearly,2556
55621,yearly,4383
55625,yearly,1096
55624,yearly,3652
52811,daily,4
52813,yearly,12419
52815,monthly,790
22678,yearly,1096
22679,yearly,3287
22677,one-off,0
22675,monthly,884
22672,daily,49
22673,daily,35
22670,one-off,0
26568,monthly,457
26567,daily,7
26564,monthly,334
26565,monthly,2465
26562,daily,39
26560,daily,52
8294,daily,34
15552,one-off,0
9337,monthly,1977
32224,monthly,334
32226,yearly,6574
32223,monthly,1399
3749,one-off,0
3746,monthly,882
3747,one-off,0
3744,daily,44
3745,monthly,1370
3743,daily,35
3740,yearly,3287
57663,yearly,12784
57665,one-off,0
57664,daily,51
57667,one-off,0
57669,yearly,10958
57668,monthly,1979
52978,daily,33
52102,yearly,14610
52100,yearly,12784
52106,one-off,0
52105,monthly,2131
52108,one-off,0
22724,monthly,1553
29658,monthly,1188
21930,monthly,822
21938,monthly,1338
21939,monthly,1430
57085,monthly,2252
57087,yearly,2191
57083,monthly,2222
57089,daily,52
57088,daily,23
55837,monthly,183
55834,monthly,1858
15708,monthly,1066
15709,monthly,1157
6811,yearly,8401
15702,one-off,0
15704,daily,10
15707,daily,33
9757,monthly,2284
9756,monthly,1279
9753,monthly,2131
9750,monthly,731
9759,monthly,2192
9758,yearly,4383
24147,monthly,853
24144,daily,54
24145,yearly,4748
37300,yearly,2192
24143,yearly,11688
24140,yearly,2922
24141,one-off,0
37309,monthly,1705
33759,monthly,1461
11848,monthly,2010
11846,yearly,10592
11842,daily,10
18537,yearly,9862
52468,monthly,883
30334,monthly,273
30226,one-off,0
30336,one-off,0
30331,yearly,10958
30333,daily,5
30338,yearly,6574
7564,one-off,0
15165,yearly,2191
52460,one-off,0
52461,daily,3
44801,daily,22
52464,daily,37
52465,one-off,0
52466,daily,51
35218,yearly,9862
35215,daily,32
35216,daily,9
35217,daily,51
35210,monthly,2740
35211,one-off,0
35212,monthly,2587
35213,monthly,2526
23267,yearly,6209
23264,monthly,2710
53738,daily,48
23262,daily,51
23263,yearly,6575
23261,monthly,1430
24587,monthly,823
9254,monthly,1614
43859,yearly,10957
9255,daily,21
10255,daily,26
43853,monthly,396
43852,monthly,457
43857,monthly,731
53735,daily,46
6779,one-off,0
6776,daily,45
6777,yearly,5479
6770,monthly,2435
6773,daily,6
24589,monthly,2343
21617,one-off,0
55201,monthly,1948
32607,daily,36
32605,monthly,1673
42810,daily,3
42813,monthly,1278
42815,monthly,1552
42817,monthly,792
42819,yearly,1826
5059,yearly,11688
5054,daily,33
5055,one-off,0
38561,monthly,2374
38563,daily,31
38565,monthly,1491
38567,one-off,0
38566,daily,18
18893,yearly,8766
18890,yearly,5844
18895,monthly,2616
18894,monthly,120
18898,monthly,2527
44221,daily,27
44223,yearly,14245
44222,monthly,2708
36178,daily,53
44227,one-off,0
44226,one-off,0
44228,daily,5
36176,yearly,5844
36171,monthly,426
36173,yearly,6209
18769,one-off,0
18768,yearly,2557
33524,yearly,2557
33525,one-off,0
33526,daily,55
33520,one-off,0
33521,monthly,1980
33522,yearly,4018
41542,yearly,6575
41546,yearly,8401
41544,one-off,0
41549,yearly,8766
41548,yearly,5478
8037,monthly,1553
8036,daily,27
8031,monthly,457
8033,daily,27
8032,daily,55
8039,daily,46
46860,monthly,1308
12583,daily,40
12582,yearly,5479
12581,daily,4
12580,yearly,3653
12585,daily,35
44913,monthly,397
44910,monthly,365
44915,daily,37
44914,monthly,1764
52385,monthly,1004
18342,daily,13
13988,yearly,15706
13989,one-off,0
13985,daily,20
13986,yearly,9131
13987,yearly,7670
13982,one-off,0
13983,yearly,9131
18340,yearly,9862
13678,yearly,4749
13679,yearly,2191
38972,one-off,0
13670,monthly,580
13671,monthly,1369
43332,monthly,2071
13674,daily,17
13675,yearly,9497
16003,monthly,1005
16000,yearly,9131
5868,monthly,274
16004,daily,30
16005,yearly,12053
5865,monthly,1764
